Pools/Nodes;Stake
Lido;6119968
Coinbase;2451680
Whales;1353536
Kraken;1303936
Binance;1206688
Bitcoin Suisse;443552
Staked.us;384672
Rocket Pool;347396
stakefish;215040
OkEx;189089
Figment;186880
Celsius Network;167168
Huobi;114240
Bitstamp;70976
Abyss Finance;58304
StakeWise;58272
Stkr;56672
danielwang.eth;55360
StakeHound;37536
Kucoin;26464
Gemini;25472
Cream;23584
Piedao;22720
Bitfinex;19776
WEX Exchange;16000
Shared Stake;16000
Cake DeFi;15360
Poloniex;12800
BTC-e;8416
tgerring.eth;8000
Vitalik;6976
Fee Recipient: 0x535?0A3;3968
kpt.eth;3680
mega.unitinu.eth;3296
coinspiracy.eth;3200
greystroke.eth;2592
MintDice.com;2112
adermatt.eth;2080
MyEtherWallet;2080
therealyoshi.eth;1632
Fee Recipient: 0x888?A38;640
neukind.com;480
ptxptx;400
Kain.eth;380
Tetranode;333
MC;288
stereum.net;173
brigs;123
jsarcher.crypto;69
Mr B;64
ZOD;64
stereum.net 2;64
Blockdeamon.com;64
Shane F;64
ZiBi.King;64
Ethereum on ARM;64
ruben ravndal;64
Eden Network: Builder;64
Mr F;64
boxfish.studio;64
WeekInEth;64
MR W;64
Mr L;64
Matusalem;64
Gooch;64
Others;5630738
