Host Organization;Count;Network_Share
LIONLINK NETWORKS;186;44.4
Amazon.com, Inc.;40;9.5
Google Inc.;13;3.1
AT&T Services, Inc.;7;1.7
Digital Ocean, Inc.;7;1.7
Hetzner Online GmbH;6;1.4
MCI Communications Services, Inc. d/b/a Verizon Business;4;1.0
Contabo GmbH;4;1.0
Vodafone GmbH;4;1.0
TATA COMMUNICATIONS (AMERICA) INC;4;1.0
Datacamp Limited;4;1.0
Bell Canada;3;0.7
KPN B.V.;3;0.7
Deutsche Telekom AG;3;0.7
Data Ideas llc.;2;0.5
Tongling;2;0.5
Karlsruhe Institute of Technology;2;0.5
M247 Ltd;2;0.5
Charter Communications;2;0.5
Cogent Communications;2;0.5
OVH SAS;2;0.5
Markus Koch;2;0.5
NetX Networks a.s.;2;0.5
FranTech Solutions;2;0.5
Linode, LLC;2;0.5
Cox Communications Inc.;2;0.5
Time Warner Cable Internet LLC;2;0.5
Comcast Cable Communications, LLC;2;0.5
T-Mobile Austria GmbH;2;0.5
OJSC Vimpelcom;2;0.5
CallPlus Services Limited;1;0.2
DataWagon LLC;1;0.2
LLC SIP NIS;1;0.2
Net By Net Holding LLC;1;0.2
China Mobile communications corporation;1;0.2
Shanghai Mobile Communications Co.,Ltd.;1;0.2
So-net Entertainment Corporation;1;0.2
Oracle Corporation;1;0.2
Choopa, LLC;1;0.2
Hyperoptic Ltd;1;0.2
Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.;1;0.2
Space Exploration Technologies Corporation;1;0.2
SI.MOBIL d.d.;1;0.2
Swisscom (Switzerland) Ltd;1;0.2
Community Fibre Limited;1;0.2
Brno University of Technology;1;0.2
NeckarCom Telekommunikation GmbH;1;0.2
HUAWEI INTERNATIONAL PTE. LTD.;1;0.2
Columbia University;1;0.2
Lightower Fiber Networks;1;0.2
The Calyx Institute;1;0.2
PCCW Limited;1;0.2
T-Mobile USA, Inc.;1;0.2
Telecom.ru Ltd;1;0.2
Didan Group LTD;1;0.2
PacketHub S.A.;1;0.2
I.C.S. Trabia-Network S.R.L.;1;0.2
PJSC MegaFon;1;0.2
Slovak Telecom, a. s.;1;0.2
Jinx Co. Limited;1;0.2
FlokiNET ehf;1;0.2
TEFINCOM S.A.;1;0.2
Cursys Sarl;1;0.2
Net Solutions - Consultoria Em Tecnologias De Informacao, Sociedade Unipessoal LDA;1;0.2
Host Sailor Ltd.;1;0.2
VTR BANDA ANCHA S.A.;1;0.2
Global Village Telecom;1;0.2
CLARO S.A.;1;0.2
inexio Informationstechnologie und Telekommunikation KGaA;1;0.2
B2 Net Solutions Inc.;1;0.2
Not SURF Net;1;0.2
Serious Tubes Networks;1;0.2
TerraHost AS;1;0.2
University of Waterloo;1;0.2
Boston University;1;0.2
Hong Kong Broadband Network Ltd.;1;0.2
WWZ Telekom AG;1;0.2
Iskratelecom CJSC;1;0.2
1&1 Internet AG;1;0.2
No.31,Jin-rong Street;1;0.2
China Unicom Shanghai network;1;0.2
ReliableSite.Net LLC;1;0.2
Rackspace Hosting;1;0.2
Liberty Global Operations B.V.;1;0.2
CJSC AIST;1;0.2
Google LLC;1;0.2
MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.;1;0.2
Mobile Telecommunications Company;1;0.2
Henan Mobile Communications Co.,Ltd;1;0.2
netcup GmbH;1;0.2
Security Firewall Ltd;1;0.2
SmarTone Mobile Communications Ltd;1;0.2
Iran Cell Service and Communication Company;1;0.2
Clouvider Limited;1;0.2
Wind Telecomunicazioni SpA;1;0.2
Northwest Fiber;1;0.2
Comcast Cable Communications, Inc.;1;0.2
ONLINE S.A.S.;1;0.2
Kabel Deutschland Vertrieb und Service GmbH;1;0.2
AEZA GROUP Ltd;1;0.2
RCS & RDS SA;1;0.2
FiberSunucu internet Hizmetleri Ugur Pala;1;0.2
Init7 (Switzerland) Ltd.;1;0.2
Free SAS;1;0.2
Probe Networks;1;0.2
Orange Polska Spolka Akcyjna;1;0.2
TELEFONICA DE ESPANA;1;0.2
Comnet Bulgaria Holding Ltd.;1;0.2
NOS COMUNICACOES, S.A.;1;0.2
Strato AG;1;0.2
A1 Telekom Austria AG;1;0.2
DPT s.r.o. LLC;1;0.2
France Telecom Espana SA;1;0.2
OJSC Promtelecom;1;0.2
HOSTEAM S.C. TOMASZ GROSZEWSKI BARTOSZ WASZAK LUKASZ GROSZEWSKI;1;0.2
Altibox AS;1;0.2
JSC ER-Telecom Holding;1;0.2
Vodafone Omnitel B.V.;1;0.2
IPAX OG;1;0.2
Kyivski Telekomunikatsiyni Merezhi LLC;1;0.2
TORAT Private Enterprise;1;0.2
Telenet N.V.;1;0.2
UpCloud Ltd;1;0.2
Azimut-R Ltd.;1;0.2
Tarr Kft.;1;0.2
Meverywhere sp. z o.o.;1;0.2
Qwest Communications Company, LLC;1;0.2
Bahnhof Internet AB;1;0.2
TELUS Communications Inc.;1;0.2
