Source;Summe
Binance;1667383493
Gate.io;1030835806
ZigZag (zkSync v1);907372422
Mercatox;844212518.7
LATOKEN;584288118.6
PancakeSwap v3 (BSC);540839077
Bitrue;510760531.5
OKX;413035804
Coinbase Exchange;375818182
XT.COM;371530712.4
MAX Exchange;370292451
Nominex;342749125.9
Bilaxy;334019517
Tidex;286587434.3
HitBTC;261158234.4
Bybit;239062919
WhiteBIT;216578410
Zonda (BitBay);208144987.4
Planet Finance;198479261
EXMO;196845322.3
1inch Liquidity Protocol;178193731
LCX Exchange;169112429.8
OpenOcean;146791280.8
Pionex;131684858
Bunicorn;130378629
KuCoin;109848210.5
Giottus;102319530.2
Kraken;84446834.9
DigiFinex;71377048
ProBit Global;68974668.91
SouthXchange;66690573
CoinSwap Space;66152812
BankCEX;63534251
Huobi;58521103.66
MDEX (BSC);57055648.26
WazirX;50993407.52
BitUBU;49593143.41
KLAYswap;48518726.08
Bitfinex;36654173.37
Tokocrypto;36079313.79
Bitstamp;30285689
P2B;30077535.43
50x;29605904
CEX.IO;29085770.58
Uniswap v3 (BSC);27168025
Bitcoiva;26995670
Coinut;26028650.6
iZiSwap;23270863
WOOFi;22232946
ViteX;19147020.68
MEXC;17235186.27
Sifchain;16718894
Coinmetro;16476001.29
YoBit;15981097
Curve (Ethereum);15253841.73
Bithumb;14781709
bitFlyer;14600719
Zipmex;12645738
Poloniex;11968408.83
Coinsbit;11719711
FMFW.io;11576401
MDEX;11561505.89
AutoShark Finance;10966828
NiceHash;10910546
OKCoin Japan;10446710
Buda;9963943.79
CoinField;8960126
THENA;7217093
THENA FUSION;7082258
Bitlo;6986077
CoinDCX;6593581
Luno;6514920.05
Gemini;6272881.64
Mandala Exchange;5916542
ClaimSwap;5301033
BigONE;5044129.24
BitGlobal;3888082.72
NovaDAX;3832431.84
DDEX;3506319
4swap;3243337
ZebPay;3146691
CoinMate;2877276
Graviex;2802627
BTX Pro;2719057
VALR;2529614.36
FOBLGATE;2457444
Lydia Finance;2352384
OpenLeverage;1808397
MakiSwap;1802014
Alita Finance;1795325
BakerySwap;1687617
PancakeSwap v2 (BSC);1659484.4
Qmall Exchange;1456324
Satang Pro;1404617
ProBit;1323871
Hotbit;1302186.37
Bitget;1185919
Bittrex;1181170.8
ExMarkets;1176245.32
Txbit;1127130.44
STEX;1097302
Tidebit;916082.21
Crypto.com Exchange;788023
Coinhub;727201
Cointr Pro;726654
THORChain;707055
DODO (BSC);676626
Cat.Ex;665422.68
Biswap;615162.91
Hotcoin Global;580934
BitForex;553786
ABCC;532516.59
Binance.US;499740
IndoEx;462269.34
CoinFLEX;443686
Loopring Exchange;435870.23
PointPay;416473
KyberSwap Elastic (BSC);378463
Zaif;359751
Binance TR;352281
CoinW;339723
Fameex;326750
Lykke Exchange;324125
Unocoin;308744
Quidax;282472
WEEX;252980
BitMart;252177.2
Tokpie;251786
Tapbit;248668
ACE;238320
ApeSwap (BSC);234324.87
StakeCube;233473
VinDAX;231484.56
TruBit Pro Exchange;227380
Bibox;216488.17
SafeTrade;210990
OceanEx;209949
Tokenize Xchange;200460.27
BitTrade;188131
Changelly PRO;185251.89
DODO (Ethereum);184686.47
Dex-Trade;167907.74
Coinone;153696
BingX;143524
LBank;140943.14
Fatbtc;135826.35
bit4you;132840
Remitano;131120
Azbit;107821
Finexbox;107646.46
Bitspay;107362
Cryptology;104942
Bitazza;104432
Elk Finance (Avalanche);97114
Orderly Network;85539
BIT;85127
Bancor Network;83968
Coinlist Pro;83345
COSS;80984
Currency.com;73791
Cryptonex;73684
Alterdice;70969.92
LMAX Digital;65004
LiteBit.eu;64159
CrossTower;61805
BitoPro;59907
Aave;58988
PancakeSwap;56423.83
BTC-Alpha;55712
CoinEx;52517
Upbit;51657.3
Dcoin;50957
Polyx;49795
BtcTurk | Pro;46421
Coinstore;45467
BabySwap;44940
CoinTiger;43417.81
AscendEX (BitMax);42168
Blockchain.com;41937.96
Phemex;39755.55
Bitexen;38217
BTC Trade UA;37895
Tokenlon;35797
Bitbank;35394
Ref Finance;34831
CoinZoom;34411.15
APROBIT;32732
Kuna;32667
Trader Joe v2 (BSC);32664
JulSwap;31479
Sovryn;31182
Blocktrade;29884
Bitbns;28885
BKEX;26544
TimeX;25104.16
Baby Doge Swap;24929
CoinJar;22422
Okcoin;22402
QuipuSwap;21697
Bitvavo;21644
Paribu;21567
Jetswap (BSC);21378
Bitci TR;19032
Bitkub;18694
Pandora;18431.18
Dinosaur Eggs;15669
BITEXLIVE;15151
BTC Markets;14387
Bitpanda Pro;13411
WX.Network;13143
Bullish;13060.31
Flybit;12789
Emirex;12208.21
GDAC;11923
Reku;11584
Independent Reserve;11515.23
Mercado Bitcoin;9991
Narkasa;9983
C-Patex;9504
HKD.com;8566
Pexpay;8406
BitTurk;6378
Foxbit;6368
Indodax;6202
BitHash;5975
Toobit;5968
Biconomy Exchange;5701
PayBito;5236.98
Bitso;5209.93
Bitsten;5135
IDEX;5102.47
BIT.TEAM;4814
SWFT Octopus Trade;4812.01
Orion Protocol BSC;4661.46
BTCEX;4575
Vauld;3956.78
Altcoin Trader;2623
DIFX;1679
Kyotoswap;1308
Nomiswap;1102.91
PowerTrade;1043
Pangolin;950.25
Defi Kingdoms (Klaytn);822.43
digitalexchange.id;689.41
AEX;550.38
Exnomy;476.9
WOO X;469.04
Bit2Me Pro;356.48
GOPAX;354.77
Deepcoin;283.05
RuDEX;272.73
Delta Exchange;187.65
BitMEX;183.66
Blofin;141.05
Serum DEX;122.94
Korbit;110.89
Hanbitco;102.27
KoinBX;63.95
KnightSwap;57.93
ZT;23.33
StormGain;20.64
Bitay;4.23
